name,lat,lng
"Wawel, Kraków",50.0547467,19.9361073
"Kościół Mariacki, Kraków",50.0616547,19.9394485
"Barbakan, Kraków",50.0654581,19.941451
"Kazimierz, Kraków",50.051855,19.9449466
"Kopiec Kościuszki, Kraków",50.054915,19.8933537
"Kościół św. Anny, Kraków",50.0623958,19.9335626
"Kopiec Krakusa, Kraków",50.038148,19.9584853
"Kopiec Józefa Piłsudskiego, Kraków",50.0601409,19.8483934
"Sukiennice, Kraków",50.0617012,19.9373511
"Plac Wolnica, Kraków",50.0487892,19.9441159
"Rynek Podgórski, Kraków",50.0442195,19.9492063
"Wieża Ratuszowa, Kraków",50.0614859,19.9364149
"Planty, Kraków",50.0602089,19.9419076
"Kościół św. Wojciecha, Kraków",50.0608884,19.9377437
"Collegium Maius, Kraków",50.0615629,19.9334091
"Brama Floriańska, Kraków",50.0648558,19.9413527
"Smok Wawelski, Kraków",50.0530165,19.9335881
"Kościół Na Skałce, Kraków",50.0482346,19.9376284
"Bazylika Bożego Ciała, Kraków",50.0497629,19.9448289
"Plac Nowy, Kraków",50.0517374,19.9446185
"Szeroka, Kraków",50.0522921,19.9482604
"Józefa 12, Kraków",50.0505994,19.9440565
"Stary cmentarz żydowski, Kraków",50.0334661,19.9630911
"Kładka Ojca Bernatka, Kraków",50.0465578,19.947504
"Rynek Podgórski, Kraków",50.0442195,19.9492063
name,lat,lng
"Wawel, Kraków",50.0547467,19.9361073
"Kościół Mariacki, Kraków",50.0616547,19.9394485
"Barbakan, Kraków",50.0654581,19.941451
"Kazimierz, Kraków",50.051855,19.9449466
"Kopiec Kościuszki, Kraków",50.054915,19.8933537
"Kościół św. Anny, Kraków",50.0623958,19.9335626
"Kopiec Krakusa, Kraków",50.038148,19.9584853
"Kopiec Józefa Piłsudskiego, Kraków",50.0601409,19.8483934
"Sukiennice, Kraków",50.0617012,19.9373511
"Plac Wolnica, Kraków",50.0487892,19.9441159
"Rynek Podgórski, Kraków",50.0442195,19.9492063
"Wieża Ratuszowa, Kraków",50.0614859,19.9364149
"Planty, Kraków",50.0602089,19.9419076
"Kościół św. Wojciecha, Kraków",50.0608884,19.9377437
"Collegium Maius, Kraków",50.0615629,19.9334091
"Brama Floriańska, Kraków",50.0648558,19.9413527
"Smok Wawelski, Kraków",50.0530165,19.9335881
"Kościół Na Skałce, Kraków",50.0482346,19.9376284
"Bazylika Bożego Ciała, Kraków",50.0497629,19.9448289
"Plac Nowy, Kraków",50.0517374,19.9446185
"Szeroka, Kraków",50.0522921,19.9482604
"Józefa 12, Kraków",50.0505994,19.9440565
"Stary cmentarz żydowski, Kraków",50.0334661,19.9630911
"Kładka Ojca Bernatka, Kraków",50.0465578,19.947504
"Rynek Podgórski, Kraków",50.0442195,19.9492063
"Kościół św. Józefa, Kraków",50.043274,19.9498973
"Fort Benedykt, Kraków",50.0427467,19.9578925
"Fabryka Emalia Oskara Schindlera, Kraków",50.0474554,19.9617094
"Plac Bohaterów Getta, Kraków",50.0467762,19.9544056
"Apteka Pod Orłem, Kraków",50.0462364,19.9541481
"Nadwiślańska, Kraków",50.048103,19.9543254
"Park Bednarskiego, Kraków",50.041756,19.9494987
"Plac Matejki, Kraków",50.0666218,19.9421037
"Stary Kleparz, Kraków",50.0663645,19.9397577
"Klasztor Kamedułów na Bielanach, Kraków",50.0459916,19.8412017
"Ogród Botaniczny Uniwersytetu Jagiellońskiego, Kraków",50.0623654,19.9580475
"Zakrzówek, Kraków",50.0414061,19.9183343
"Kopiec Wandy, Kraków",50.0702259,20.0680789
"Kościół św. Piotra i Pawła, Kraków",50.0569265,19.9390641
"Kościół pw. Najświętszej Maryi Panny Królowej Polski, Kraków",50.0849906,20.0293211
"Plac Centralny, Nowa Huta, Kraków",50.0726409,20.036828
"Opactwo Cystersów w Mogile, Kraków",50.064841,20.0534932
"Park Jordana, Kraków",50.0627296,19.9160653
"SANKTUARIUM BOŻEGO MIŁOSIERDZIA, Kraków",50.0170224,19.9405272
"Park Krakowski, Kraków",50.0680831,19.9243392
